pid,task,Sex,n_correct,n,perc
001,car,Female,35,54,64.81481481481481
001,face,Female,35,54,64.81481481481481
002,car,Female,33,54,61.111111111111114
002,face,Female,34,54,62.96296296296296
003,car,Female,29,54,53.70370370370371
003,face,Female,40,54,74.07407407407408
004,car,Female,28,54,51.85185185185185
004,face,Female,38,54,70.37037037037037
006,car,Male,39,54,72.22222222222221
006,face,Male,28,54,51.85185185185185
007,car,Female,33,54,61.111111111111114
007,face,Female,42,54,77.77777777777779
008,car,Male,25,54,46.2962962962963
008,face,Male,34,54,62.96296296296296
009,car,Male,33,54,61.111111111111114
009,face,Male,26,54,48.148148148148145
010,car,Male,23,54,42.592592592592595
010,face,Male,52,54,96.29629629629629
011,car,Male,35,54,64.81481481481481
011,face,Male,47,54,87.03703703703704
012,car,Male,38,54,70.37037037037037
012,face,Male,29,54,53.70370370370371
013,car,Male,31,54,57.407407407407405
013,face,Male,22,54,40.74074074074074
014,car,Male,27,54,50
014,face,Male,31,54,57.407407407407405
015,car,Male,29,54,53.70370370370371
015,face,Male,28,54,51.85185185185185
016,car,Female,27,54,50
016,face,Female,26,54,48.148148148148145
018,car,Male,21,54,38.88888888888889
018,face,Male,26,54,48.148148148148145
020,car,Female,25,54,46.2962962962963
020,face,Female,32,54,59.25925925925925
021,car,Female,26,54,48.148148148148145
021,face,Female,24,54,44.44444444444444
022,car,Female,25,54,46.2962962962963
022,face,Female,31,54,57.407407407407405
024,car,Male,40,54,74.07407407407408
024,face,Male,40,54,74.07407407407408
025,car,Female,35,54,64.81481481481481
025,face,Female,51,54,94.44444444444444
026,car,Female,34,54,62.96296296296296
026,face,Female,36,54,66.66666666666666
027,car,Female,27,54,50
027,face,Female,36,54,66.66666666666666
028,car,Female,25,54,46.2962962962963
028,face,Female,26,54,48.148148148148145
029,car,Male,42,54,77.77777777777779
029,face,Male,29,54,53.70370370370371
030,car,Female,24,54,44.44444444444444
030,face,Female,32,54,59.25925925925925
031,car,Female,41,54,75.92592592592592
031,face,Female,28,54,51.85185185185185
033,car,Female,29,54,53.70370370370371
033,face,Female,19,54,35.18518518518518
034,car,Female,33,54,61.111111111111114
034,face,Female,45,54,83.33333333333334
036,car,Male,32,54,59.25925925925925
036,face,Male,38,54,70.37037037037037
037,car,Male,37,54,68.51851851851852
037,face,Male,29,54,53.70370370370371
039,car,Female,37,54,68.51851851851852
039,face,Female,51,54,94.44444444444444
040,car,Female,34,54,62.96296296296296
040,face,Female,43,54,79.62962962962963
041,car,Female,31,54,57.407407407407405
041,face,Female,35,54,64.81481481481481
042,car,Female,34,54,62.96296296296296
042,face,Female,40,54,74.07407407407408
043,car,Female,29,54,53.70370370370371
043,face,Female,24,54,44.44444444444444
044,car,Male,26,54,48.148148148148145
044,face,Male,15,54,27.77777777777778
046,car,Male,18,54,33.33333333333333
046,face,Male,26,54,48.148148148148145
047,car,Female,33,54,61.111111111111114
047,face,Female,21,54,38.88888888888889
048,car,Male,30,54,55.55555555555556
048,face,Male,41,54,75.92592592592592
049,car,Female,27,54,50
049,face,Female,44,54,81.48148148148148
050,car,Female,39,54,72.22222222222221
050,face,Female,53,54,98.14814814814815
051,car,Female,31,54,57.407407407407405
051,face,Female,35,54,64.81481481481481
052,car,Male,38,54,70.37037037037037
052,face,Male,29,54,53.70370370370371
053,car,Male,39,54,72.22222222222221
053,face,Male,34,54,62.96296296296296
054,car,Female,28,54,51.85185185185185
054,face,Female,29,54,53.70370370370371
055,car,Female,35,54,64.81481481481481
055,face,Female,25,54,46.2962962962963
056,car,Male,42,54,77.77777777777779
056,face,Male,49,54,90.74074074074075
058,car,Female,43,54,79.62962962962963
058,face,Female,25,54,46.2962962962963
059,car,Female,31,54,57.407407407407405
059,face,Female,43,54,79.62962962962963
060,car,Female,24,54,44.44444444444444
060,face,Female,25,54,46.2962962962963
061,car,Female,33,54,61.111111111111114
061,face,Female,37,54,68.51851851851852
062,car,Female,27,54,50
062,face,Female,40,54,74.07407407407408
063,car,Female,29,54,53.70370370370371
063,face,Female,40,54,74.07407407407408
064,car,Female,22,54,40.74074074074074
064,face,Female,32,54,59.25925925925925
065,car,Female,25,54,46.2962962962963
065,face,Female,34,54,62.96296296296296
067,car,Male,33,54,61.111111111111114
067,face,Male,42,54,77.77777777777779
068,car,Male,43,54,79.62962962962963
068,face,Male,31,54,57.407407407407405
069,car,Female,19,54,35.18518518518518
069,face,Female,36,54,66.66666666666666
070,car,Female,46,54,85.18518518518519
070,face,Female,53,54,98.14814814814815
072,car,Female,23,54,42.592592592592595
072,face,Female,45,54,83.33333333333334
073,car,Male,40,54,74.07407407407408
073,face,Male,52,54,96.29629629629629
074,car,Male,28,54,51.85185185185185
074,face,Male,32,54,59.25925925925925
075,car,Male,27,54,50
075,face,Male,22,54,40.74074074074074
076,car,Female,28,54,51.85185185185185
076,face,Female,33,54,61.111111111111114
077,car,Male,48,54,88.88888888888889
077,face,Male,29,54,53.70370370370371
078,car,Female,33,54,61.111111111111114
078,face,Female,38,54,70.37037037037037
079,car,Male,31,54,57.407407407407405
079,face,Male,51,54,94.44444444444444
080,car,Male,22,54,40.74074074074074
080,face,Male,39,54,72.22222222222221
081,car,Female,36,54,66.66666666666666
081,face,Female,37,54,68.51851851851852
082,car,Female,41,54,75.92592592592592
082,face,Female,48,54,88.88888888888889
083,car,Female,38,54,70.37037037037037
083,face,Female,37,54,68.51851851851852
084,car,Male,38,54,70.37037037037037
084,face,Male,37,54,68.51851851851852
085,car,Female,23,54,42.592592592592595
085,face,Female,37,54,68.51851851851852
087,car,Female,43,54,79.62962962962963
087,face,Female,49,54,90.74074074074075
089,car,Female,35,54,64.81481481481481
089,face,Female,43,54,79.62962962962963
090,car,Male,35,54,64.81481481481481
090,face,Male,51,54,94.44444444444444
091,car,Female,22,54,40.74074074074074
091,face,Female,38,54,70.37037037037037
093,car,Female,42,54,77.77777777777779
093,face,Female,46,54,85.18518518518519
094,car,Male,26,54,48.148148148148145
094,face,Male,30,54,55.55555555555556
096,car,Male,45,54,83.33333333333334
096,face,Male,28,54,51.85185185185185
097,car,Male,18,54,33.33333333333333
097,face,Male,37,54,68.51851851851852
098,car,Male,23,54,42.592592592592595
098,face,Male,34,54,62.96296296296296
099,car,Male,24,54,44.44444444444444
099,face,Male,50,54,92.5925925925926
100,car,Male,31,54,57.407407407407405
100,face,Male,41,54,75.92592592592592
101,car,Female,29,54,53.70370370370371
101,face,Female,51,54,94.44444444444444
102,car,Male,20,54,37.03703703703704
102,face,Male,26,54,48.148148148148145
104,car,Female,27,54,50
104,face,Female,26,54,48.148148148148145
105,car,Female,28,54,51.85185185185185
105,face,Female,28,54,51.85185185185185
106,car,Female,33,54,61.111111111111114
106,face,Female,18,54,33.33333333333333
107,car,Female,32,54,59.25925925925925
107,face,Female,39,54,72.22222222222221
108,car,Male,30,54,55.55555555555556
108,face,Male,39,54,72.22222222222221
109,car,Female,25,54,46.2962962962963
109,face,Female,26,54,48.148148148148145
110,car,Male,38,54,70.37037037037037
110,face,Male,29,54,53.70370370370371
111,car,Male,25,54,46.2962962962963
111,face,Male,29,54,53.70370370370371
113,car,Male,27,54,50
113,face,Male,35,54,64.81481481481481
114,car,Male,31,54,57.407407407407405
114,face,Male,28,54,51.85185185185185
115,car,Female,36,54,66.66666666666666
115,face,Female,34,54,62.96296296296296
116,car,Male,33,54,61.111111111111114
116,face,Male,36,54,66.66666666666666
117,car,Female,27,54,50
117,face,Female,48,54,88.88888888888889
118,car,Female,23,54,42.592592592592595
118,face,Female,21,54,38.88888888888889
119,car,Female,41,54,75.92592592592592
119,face,Female,53,54,98.14814814814815
120,car,Female,35,54,64.81481481481481
120,face,Female,40,54,74.07407407407408
121,car,Female,28,54,51.85185185185185
121,face,Female,30,54,55.55555555555556
124,car,Female,30,54,55.55555555555556
124,face,Female,24,54,44.44444444444444
126,car,Male,40,54,74.07407407407408
126,face,Male,25,54,46.2962962962963
127,car,Male,38,54,70.37037037037037
127,face,Male,49,54,90.74074074074075
129,car,Female,40,54,74.07407407407408
129,face,Female,41,54,75.92592592592592
130,car,Male,31,54,57.407407407407405
130,face,Male,47,54,87.03703703703704
132,car,Male,32,54,59.25925925925925
132,face,Male,21,54,38.88888888888889
133,car,Male,24,54,44.44444444444444
133,face,Male,32,54,59.25925925925925
134,car,Male,31,54,57.407407407407405
134,face,Male,40,54,74.07407407407408
136,car,Female,26,54,48.148148148148145
136,face,Female,45,54,83.33333333333334
137,car,Female,29,54,53.70370370370371
137,face,Female,28,54,51.85185185185185
139,car,Male,26,54,48.148148148148145
139,face,Male,33,54,61.111111111111114
140,car,Male,33,54,61.111111111111114
140,face,Male,30,54,55.55555555555556
143,car,Male,31,54,57.407407407407405
143,face,Male,29,54,53.70370370370371
144,car,Female,28,54,51.85185185185185
144,face,Female,24,54,44.44444444444444
145,car,Female,27,54,50
145,face,Female,25,54,46.2962962962963
146,car,Female,25,54,46.2962962962963
146,face,Female,34,54,62.96296296296296
147,car,Female,37,54,68.51851851851852
147,face,Female,30,54,55.55555555555556
149,car,Female,33,54,61.111111111111114
149,face,Female,39,54,72.22222222222221
150,car,Male,38,54,70.37037037037037
150,face,Male,29,54,53.70370370370371
152,car,Male,29,54,53.70370370370371
152,face,Male,26,54,48.148148148148145
153,car,Female,28,54,51.85185185185185
153,face,Female,39,54,72.22222222222221
154,car,Female,33,54,61.111111111111114
154,face,Female,39,54,72.22222222222221
156,car,Female,28,54,51.85185185185185
156,face,Female,27,54,50
157,car,Female,27,54,50
157,face,Female,24,54,44.44444444444444
158,car,Female,25,54,46.2962962962963
158,face,Female,21,54,38.88888888888889
160,car,Female,19,54,35.18518518518518
160,face,Female,27,54,50
161,car,Female,26,54,48.148148148148145
161,face,Female,40,54,74.07407407407408
162,car,Female,25,54,46.2962962962963
162,face,Female,29,54,53.70370370370371
163,car,Female,28,54,51.85185185185185
163,face,Female,20,54,37.03703703703704
165,car,Female,36,54,66.66666666666666
165,face,Female,42,54,77.77777777777779
166,car,Female,31,54,57.407407407407405
166,face,Female,28,54,51.85185185185185
167,car,Male,30,54,55.55555555555556
167,face,Male,35,54,64.81481481481481
168,car,Female,26,54,48.148148148148145
168,face,Female,33,54,61.111111111111114
169,car,Female,35,54,64.81481481481481
169,face,Female,41,54,75.92592592592592
170,car,Male,35,54,64.81481481481481
170,face,Male,49,54,90.74074074074075
171,car,Male,43,54,79.62962962962963
171,face,Male,31,54,57.407407407407405
172,car,Female,40,54,74.07407407407408
172,face,Female,45,54,83.33333333333334
173,car,Male,35,54,64.81481481481481
173,face,Male,38,54,70.37037037037037
174,car,Female,30,54,55.55555555555556
174,face,Female,34,54,62.96296296296296
175,car,Male,31,54,57.407407407407405
175,face,Male,32,54,59.25925925925925
176,car,Male,40,54,74.07407407407408
176,face,Male,46,54,85.18518518518519
178,car,Female,34,54,62.96296296296296
178,face,Female,15,54,27.77777777777778
179,car,Female,44,54,81.48148148148148
179,face,Female,44,54,81.48148148148148
180,car,Male,31,54,57.407407407407405
180,face,Male,42,54,77.77777777777779
181,car,Male,39,54,72.22222222222221
181,face,Male,25,54,46.2962962962963
182,car,Female,34,54,62.96296296296296
182,face,Female,43,54,79.62962962962963
183,car,Male,52,54,96.29629629629629
183,face,Male,53,54,98.14814814814815
184,car,Male,28,54,51.85185185185185
184,face,Male,30,54,55.55555555555556
185,car,Male,33,54,61.111111111111114
185,face,Male,30,54,55.55555555555556
186,car,Male,20,54,37.03703703703704
186,face,Male,39,54,72.22222222222221
187,car,Male,27,54,50
187,face,Male,16,54,29.629629629629626
189,car,Female,31,54,57.407407407407405
189,face,Female,50,54,92.5925925925926
190,car,Male,27,54,50
190,face,Male,48,54,88.88888888888889
192,car,Male,32,54,59.25925925925925
192,face,Male,44,54,81.48148148148148
193,car,Male,41,54,75.92592592592592
193,face,Male,42,54,77.77777777777779
194,car,Female,33,54,61.111111111111114
194,face,Female,22,54,40.74074074074074
195,car,Female,39,54,72.22222222222221
195,face,Female,46,54,85.18518518518519
197,car,Female,41,54,75.92592592592592
197,face,Female,19,54,35.18518518518518
198,car,Male,30,54,55.55555555555556
198,face,Male,40,54,74.07407407407408
202,car,Male,27,54,50
202,face,Male,23,54,42.592592592592595
203,car,Female,24,54,44.44444444444444
203,face,Female,48,54,88.88888888888889
204,car,Female,30,54,55.55555555555556
204,face,Female,21,54,38.88888888888889
205,car,Male,34,54,62.96296296296296
205,face,Male,28,54,51.85185185185185
207,car,Female,20,54,37.03703703703704
207,face,Female,25,54,46.2962962962963
208,car,Male,33,54,61.111111111111114
208,face,Male,43,54,79.62962962962963
210,car,Male,30,54,55.55555555555556
210,face,Male,42,54,77.77777777777779
211,car,Male,33,54,61.111111111111114
211,face,Male,34,54,62.96296296296296
212,car,Female,40,54,74.07407407407408
212,face,Female,49,54,90.74074074074075
214,car,Female,24,54,44.44444444444444
214,face,Female,29,54,53.70370370370371
215,car,Male,49,54,90.74074074074075
215,face,Male,34,54,62.96296296296296
216,car,Female,34,54,62.96296296296296
216,face,Female,31,54,57.407407407407405
217,car,Female,25,54,46.2962962962963
217,face,Female,33,54,61.111111111111114
218,car,Female,17,54,31.48148148148148
218,face,Female,51,54,94.44444444444444
221,car,Female,35,54,64.81481481481481
221,face,Female,19,54,35.18518518518518
223,car,Male,18,54,33.33333333333333
223,face,Male,21,54,38.88888888888889
224,car,Female,32,54,59.25925925925925
224,face,Female,50,54,92.5925925925926
225,car,Female,34,54,62.96296296296296
225,face,Female,35,54,64.81481481481481
226,car,Female,30,54,55.55555555555556
226,face,Female,31,54,57.407407407407405
227,car,Female,26,54,48.148148148148145
227,face,Female,40,54,74.07407407407408
228,car,Female,29,54,53.70370370370371
228,face,Female,32,54,59.25925925925925
229,car,Male,36,54,66.66666666666666
229,face,Male,49,54,90.74074074074075
230,car,Female,17,54,31.48148148148148
230,face,Female,28,54,51.85185185185185
231,car,Male,39,54,72.22222222222221
231,face,Male,30,54,55.55555555555556
232,car,Female,37,54,68.51851851851852
232,face,Female,51,54,94.44444444444444
234,car,Female,29,54,53.70370370370371
234,face,Female,44,54,81.48148148148148
236,car,Male,22,54,40.74074074074074
236,face,Male,43,54,79.62962962962963
237,car,Female,28,54,51.85185185185185
237,face,Female,22,54,40.74074074074074
238,car,Male,37,54,68.51851851851852
238,face,Male,37,54,68.51851851851852
239,car,Female,39,54,72.22222222222221
239,face,Female,24,54,44.44444444444444
240,car,Male,26,54,48.148148148148145
240,face,Male,36,54,66.66666666666666
241,car,Female,23,54,42.592592592592595
241,face,Female,33,54,61.111111111111114
242,car,Male,45,54,83.33333333333334
242,face,Male,32,54,59.25925925925925
243,car,Male,20,54,37.03703703703704
243,face,Male,38,54,70.37037037037037
244,car,Male,33,54,61.111111111111114
244,face,Male,26,54,48.148148148148145
245,car,Male,34,54,62.96296296296296
245,face,Male,23,54,42.592592592592595
246,car,Male,48,54,88.88888888888889
246,face,Male,47,54,87.03703703703704
247,car,Female,34,54,62.96296296296296
247,face,Female,39,54,72.22222222222221
248,car,Male,19,54,35.18518518518518
248,face,Male,22,54,40.74074074074074
251,car,Female,30,54,55.55555555555556
251,face,Female,29,54,53.70370370370371
252,car,Female,32,54,59.25925925925925
252,face,Female,29,54,53.70370370370371
253,car,Male,34,54,62.96296296296296
253,face,Male,20,54,37.03703703703704
255,car,Female,43,54,79.62962962962963
255,face,Female,51,54,94.44444444444444
256,car,Female,20,54,37.03703703703704
256,face,Female,22,54,40.74074074074074
257,car,Female,31,54,57.407407407407405
257,face,Female,11,54,20.37037037037037
259,car,Male,24,54,44.44444444444444
259,face,Male,17,54,31.48148148148148
260,car,Female,30,54,55.55555555555556
260,face,Female,22,54,40.74074074074074
261,car,Female,26,54,48.148148148148145
261,face,Female,31,54,57.407407407407405
262,car,Male,29,54,53.70370370370371
262,face,Male,37,54,68.51851851851852
264,car,Female,32,54,59.25925925925925
264,face,Female,49,54,90.74074074074075
265,car,Male,30,54,55.55555555555556
265,face,Male,22,54,40.74074074074074
266,car,Male,34,54,62.96296296296296
266,face,Male,41,54,75.92592592592592
267,car,Male,46,54,85.18518518518519
267,face,Male,46,54,85.18518518518519
268,car,Female,27,54,50
268,face,Female,32,54,59.25925925925925
269,car,Male,37,54,68.51851851851852
269,face,Male,38,54,70.37037037037037
270,car,Male,34,54,62.96296296296296
270,face,Male,25,54,46.2962962962963
271,car,Male,33,54,61.111111111111114
271,face,Male,36,54,66.66666666666666
272,car,Female,26,54,48.148148148148145
272,face,Female,33,54,61.111111111111114
273,car,Female,27,54,50
273,face,Female,40,54,74.07407407407408
274,car,Male,40,54,74.07407407407408
274,face,Male,28,54,51.85185185185185
276,car,Female,26,54,48.148148148148145
276,face,Female,42,54,77.77777777777779
277,car,Male,29,54,53.70370370370371
277,face,Male,36,54,66.66666666666666
278,car,Male,40,54,74.07407407407408
278,face,Male,41,54,75.92592592592592
279,car,Male,36,54,66.66666666666666
279,face,Male,32,54,59.25925925925925
280,car,Male,33,54,61.111111111111114
280,face,Male,39,54,72.22222222222221
282,car,Male,31,54,57.407407407407405
282,face,Male,36,54,66.66666666666666
283,car,Female,32,54,59.25925925925925
283,face,Female,22,54,40.74074074074074
284,car,Male,28,54,51.85185185185185
284,face,Male,48,54,88.88888888888889
286,car,Male,23,54,42.592592592592595
286,face,Male,21,54,38.88888888888889
287,car,Female,31,54,57.407407407407405
287,face,Female,49,54,90.74074074074075
289,car,Female,28,54,51.85185185185185
289,face,Female,25,54,46.2962962962963
290,car,Female,8,54,14.814814814814813
290,face,Female,47,54,87.03703703703704
293,car,Female,32,54,59.25925925925925
293,face,Female,19,54,35.18518518518518
294,car,Male,17,54,31.48148148148148
294,face,Male,37,54,68.51851851851852
295,car,Female,34,54,62.96296296296296
295,face,Female,31,54,57.407407407407405
297,car,Female,34,54,62.96296296296296
297,face,Female,40,54,74.07407407407408
299,car,Male,48,54,88.88888888888889
299,face,Male,40,54,74.07407407407408
303,car,Male,27,54,50
303,face,Male,38,54,70.37037037037037
304,car,Female,36,54,66.66666666666666
304,face,Female,36,54,66.66666666666666
305,car,Male,27,54,50
305,face,Male,14,54,25.925925925925924
307,car,Male,26,54,48.148148148148145
307,face,Male,31,54,57.407407407407405
308,car,Female,38,54,70.37037037037037
308,face,Female,49,54,90.74074074074075
309,car,Female,30,54,55.55555555555556
309,face,Female,34,54,62.96296296296296
310,car,Male,32,54,59.25925925925925
310,face,Male,46,54,85.18518518518519
313,car,Male,28,54,51.85185185185185
313,face,Male,43,54,79.62962962962963
314,car,Male,47,54,87.03703703703704
314,face,Male,24,54,44.44444444444444
315,car,Female,23,54,42.592592592592595
315,face,Female,17,54,31.48148148148148
316,car,Male,20,54,37.03703703703704
316,face,Male,20,54,37.03703703703704
317,car,Male,26,54,48.148148148148145
317,face,Male,23,54,42.592592592592595
319,car,Male,28,54,51.85185185185185
319,face,Male,19,54,35.18518518518518
320,car,Male,20,54,37.03703703703704
320,face,Male,39,54,72.22222222222221
321,car,Male,26,54,48.148148148148145
321,face,Male,42,54,77.77777777777779
322,car,Female,20,54,37.03703703703704
322,face,Female,32,54,59.25925925925925
323,car,Male,36,54,66.66666666666666
323,face,Male,48,54,88.88888888888889
324,car,Male,34,54,62.96296296296296
324,face,Male,23,54,42.592592592592595
325,car,Male,30,54,55.55555555555556
325,face,Male,39,54,72.22222222222221
326,car,Female,26,54,48.148148148148145
326,face,Female,35,54,64.81481481481481
327,car,Male,36,54,66.66666666666666
327,face,Male,28,54,51.85185185185185
328,car,Female,30,54,55.55555555555556
328,face,Female,18,54,33.33333333333333
330,car,Male,22,54,40.74074074074074
330,face,Male,14,54,25.925925925925924
332,car,Male,43,54,79.62962962962963
332,face,Male,23,54,42.592592592592595
335,car,Female,38,54,70.37037037037037
335,face,Female,37,54,68.51851851851852
336,car,Male,29,54,53.70370370370371
336,face,Male,20,54,37.03703703703704
339,car,Male,30,54,55.55555555555556
339,face,Male,24,54,44.44444444444444
340,car,Female,33,54,61.111111111111114
340,face,Female,31,54,57.407407407407405
342,car,Male,32,54,59.25925925925925
342,face,Male,36,54,66.66666666666666
344,car,Female,26,54,48.148148148148145
344,face,Female,34,54,62.96296296296296
347,car,Male,26,54,48.148148148148145
347,face,Male,15,54,27.77777777777778
348,car,Male,39,54,72.22222222222221
348,face,Male,35,54,64.81481481481481
349,car,Male,24,54,44.44444444444444
349,face,Male,26,54,48.148148148148145
350,car,Male,42,54,77.77777777777779
350,face,Male,37,54,68.51851851851852
351,car,Male,28,54,51.85185185185185
351,face,Male,23,54,42.592592592592595
352,car,Female,31,54,57.407407407407405
352,face,Female,31,54,57.407407407407405
353,car,Female,32,54,59.25925925925925
353,face,Female,37,54,68.51851851851852
354,car,Female,33,54,61.111111111111114
354,face,Female,50,54,92.5925925925926
355,car,Female,27,54,50
355,face,Female,30,54,55.55555555555556
356,car,Female,28,54,51.85185185185185
356,face,Female,46,54,85.18518518518519
357,car,Female,33,54,61.111111111111114
357,face,Female,23,54,42.592592592592595
359,car,Female,27,54,50
359,face,Female,23,54,42.592592592592595
360,car,Female,18,54,33.33333333333333
360,face,Female,24,54,44.44444444444444
361,car,Male,32,54,59.25925925925925
361,face,Male,31,54,57.407407407407405
362,car,Male,33,54,61.111111111111114
362,face,Male,29,54,53.70370370370371
363,car,Male,31,54,57.407407407407405
363,face,Male,37,54,68.51851851851852
364,car,Male,45,54,83.33333333333334
364,face,Male,34,54,62.96296296296296
365,car,Female,27,54,50
365,face,Female,37,54,68.51851851851852
366,car,Female,25,54,46.2962962962963
366,face,Female,23,54,42.592592592592595
369,car,Female,33,54,61.111111111111114
369,face,Female,42,54,77.77777777777779
370,car,Male,22,54,40.74074074074074
370,face,Male,27,54,50
371,car,Female,37,54,68.51851851851852
371,face,Female,42,54,77.77777777777779
373,car,Male,23,54,42.592592592592595
373,face,Male,27,54,50
374,car,Female,35,54,64.81481481481481
374,face,Female,42,54,77.77777777777779
375,car,Female,28,54,51.85185185185185
375,face,Female,49,54,90.74074074074075
376,car,Male,29,54,53.70370370370371
376,face,Male,30,54,55.55555555555556
377,car,Male,42,54,77.77777777777779
377,face,Male,35,54,64.81481481481481
379,car,Female,37,54,68.51851851851852
379,face,Female,21,54,38.88888888888889
382,car,Female,25,54,46.2962962962963
382,face,Female,32,54,59.25925925925925
383,car,Female,34,54,62.96296296296296
383,face,Female,30,54,55.55555555555556
